run_id,task,variant,scale,seed_index,active_parameter_count,target_active_parameters,active_capacity_match_error,padding_parameter_count,route_feature_dim,test_mse,test_nmse,test_nrmse,test_mae,test_p95_to_median_abs_error,total_seconds,fixed_component,variant_semantics,run_path
p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s1,switching_mackey_glass_controlled,RF-FULL,P250,1,250553,250000,0.002212,0,64,0.008464883081614971,0.10860683023929596,0.3295555114746094,0.06721735745668411,4.093139171600342,1.260365777881816,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s1
p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s2,switching_mackey_glass_controlled,RF-FULL,P250,2,250553,250000,0.002212,0,64,0.005295833107084036,0.07736336439847946,0.27814269065856934,0.05336393415927887,4.18223237991333,1.2489005879033357,,RF-FULL,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmFULL_s2
p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s0,switching_mackey_glass_controlled,RF-KV,P250,0,250553,250000,0.002212,0,64,0.004478957504034042,0.029158208519220352,0.1707577407360077,0.048909831792116165,3.8779854774475098,2.0778079729061574,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s0
p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s1,switching_mackey_glass_controlled,RF-KV,P250,1,250553,250000,0.002212,0,64,0.004600155632942915,0.05902129039168358,0.24294297397136688,0.05454983934760094,2.7799723148345947,2.3785669319331646,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s1
p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s2,switching_mackey_glass_controlled,RF-KV,P250,2,250553,250000,0.002212,0,64,0.0020381882786750793,0.029774559661746025,0.17255306243896484,0.030250614508986473,5.823792934417725,2.0587551242206246,,RF-KV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_mackey_glass_controlled_P250_RFmKV_s2
p5_pilot_switching_narma_controlled_P1M_D0_s0,switching_narma_controlled,D0,P1M,0,1001853,1000000,0.001853,0,64,0.006034283433109522,0.023952344432473183,0.15476545691490173,0.054494667798280716,4.278115749359131,1.6312460778281093,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_narma_controlled_P1M_D0_s0
p5_pilot_switching_narma_controlled_P1M_D0_s1,switching_narma_controlled,D0,P1M,1,1001853,1000000,0.001853,0,64,0.004308569710701704,0.05037759989500046,0.2244495451450348,0.04884551838040352,3.848970413208008,1.6228224360384047,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_narma_controlled_P1M_D0_s1
p5_pilot_switching_narma_controlled_P1M_D0_s2,switching_narma_controlled,D0,P1M,2,1001853,1000000,0.001853,0,64,0.0023928836453706026,0.01573430746793747,0.125436469912529,0.039763789623975754,2.6471052169799805,1.8014240339398384,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_narma_controlled_P1M_D0_s2
p5_pilot_switching_narma_controlled_P1M_DDmL_s0,switching_narma_controlled,DD-L,P1M,0,999801,1000000,0.000199,0,64,0.005040004383772612,0.02000567689538002,0.14144141972064972,0.059784259647130966,2.236466646194458,2.2587342858314514,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_narma_controlled_P1M_DDmL_s0
p5_pilot_switching_narma_controlled_P1M_DDmL_s1,switching_narma_controlled,DD-L,P1M,1,999801,1000000,0.000199,0,64,0.0031487380620092154,0.03681636229157448,0.1918759047985077,0.0384674109518528,3.416092872619629,2.5447543752379715,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_switching_narma_controlled_P1M_DDmL_s1
