best_validation_mse,condition,memory_freeze_step,memory_protocol,memory_trace_points,parameter_count,run_id,run_path,scale,seed,status,task,test_mae,test_mse,total_seconds,train_mse,trainable_parameter_count,training_samples,training_steps,validation_mae,validation_mse,variant
0.0067383879174788795,recurring,,joint,13,250000,p4_switching_mackey_glass_recurring_DDmb_S_s594644,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmb_S_s594644,S,594644,complete,switching_mackey_glass,0.06494318222006162,0.0064318367590506876,2.111382378730923,0.009428398596355692,250000,7680,240,0.06676743552088737,0.0067383879174788795,DD-b
0.00648443525036176,recurring,,joint,13,250000,p4_switching_mackey_glass_recurring_DDmb_S_s922467,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmb_S_s922467,S,922467,complete,switching_mackey_glass,0.06131993358333906,0.006337634675825636,2.449554956983775,0.010032651557897529,250000,7680,240,0.06378847782810529,0.006566716358065605,DD-b
0.003613625247453456,recurring,360,warmup_then_freeze,14,1000000,p4_switching_mackey_glass_recurring_DDmbmstaged_M_s20688,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmbmstaged_M_s20688,M,20688,complete,switching_mackey_glass,0.06058946717530489,0.005931212166615296,3.599882810842246,0.005213141477725003,993856,7680,480,0.06046267272904515,0.006001420253596734,DD-b-staged
0.005035310379753355,recurring,360,warmup_then_freeze,14,1000000,p4_switching_mackey_glass_recurring_DDmbmstaged_M_s542959,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmbmstaged_M_s542959,M,542959,complete,switching_mackey_glass,0.05248902575112879,0.004483143940888112,4.250307126902044,0.004711547062470345,993856,7680,480,0.05541101103881374,0.005035310379753355,DD-b-staged
0.006054745567962527,recurring,180,warmup_then_freeze,14,250000,p4_switching_mackey_glass_recurring_DDmbmstaged_S_s594644,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmbmstaged_S_s594644,S,594644,complete,switching_mackey_glass,0.0652247133354346,0.0062751707000037035,2.156011546961963,0.009443105984246358,247952,7680,240,0.06478610361615816,0.006054745567962527,DD-b-staged
0.006361377254749338,recurring,180,warmup_then_freeze,14,250000,p4_switching_mackey_glass_recurring_DDmbmstaged_S_s922467,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_DDmbmstaged_S_s922467,S,922467,complete,switching_mackey_glass,0.05956896121303241,0.005863634784085055,2.1768283350393176,0.009902648938198885,247952,7680,240,0.0633212591211001,0.006361377254749338,DD-b-staged
0.003687289279696415,recurring,,joint,13,1000000,p4_switching_mackey_glass_recurring_RFmb_M_s20688,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_RFmb_M_s20688,M,20688,complete,switching_mackey_glass,0.04833288153167814,0.003701476865899167,4.00237709004432,0.0033825901118689217,993856,7680,480,0.047754494880791754,0.003687289279696415,RF-b
0.004902578340988839,recurring,,joint,13,1000000,p4_switching_mackey_glass_recurring_RFmb_M_s542959,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_RFmb_M_s542959,M,542959,complete,switching_mackey_glass,0.06350723467767239,0.005936428511631675,3.9174331692047417,0.006713076036248822,993856,7680,480,0.06960245769005269,0.006942213163711131,RF-b
0.00665712277404964,recurring,,joint,13,250000,p4_switching_mackey_glass_recurring_RFmb_S_s594644,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_RFmb_S_s594644,S,594644,complete,switching_mackey_glass,0.0643969126045704,0.00640636351890862,2.418449819087982,0.009527229995001107,247952,7680,240,0.06632158706585566,0.00665712277404964,RF-b
0.006501509264732401,recurring,,joint,13,250000,p4_switching_mackey_glass_recurring_RFmb_S_s922467,/blue/uf-dsi/rvalle1/KAM/results/phase4/factorial_screen/runs/p4_switching_mackey_glass_recurring_RFmb_S_s922467,S,922467,complete,switching_mackey_glass,0.06192375868558884,0.006458632663513223,2.1097390751820058,0.010268541829039654,247952,7680,240,0.06453181182344754,0.006728867751856645,RF-b
